Variable	Coefficient	HR(95%Conf)	P-value	C-index
367	-0.01	0.99(0.55-1.77)	0.966	0.49
gleason	0.86	2.36(1.74-3.20)	0.000	0.70
367(Multivariate)	-0.11	0.89(0.49-1.62)	0.708	0.68
gleason(Multivariate)	0.87	2.39(1.75-3.25)	0.000	0.68
