Gene(EntrezID)	TF_targets	Mapped_genes	P-value
6722	8776	27	0.0042
4149	10695	36	0.0065
6598	9426	31	0.0086
6938	9618	26	0.0001
5452	9814	26	0.0001
5079	10727	33	0.0008
6667	13316	40	0.0
3662	9090	26	0.0008
6925	11223	33	0.0001
1879	9217	26	0.0005
23462	9430	30	0.0046
8320	6067	14	0.0011
367	6331	15	0.0009
4089	4601	6	0.0
6872	11562	39	0.0034
2551	8368	25	0.0038
53335	6866	19	0.005
3214	1253	0	0.0044
6886	4631	8	0.0004
4609	13735	47	0.0005
